,Total Population,Served Percentage
6948,31181.0,0.006574516532503768
6969,1476867.0,0.8970002038098217
6996,41602.0,0.17066487188115956
7025,82968.0,0.3283072991996914
7043,80936.0,0.22690768014233467
7082,228370.0,0.18367123527608706
7134,16373.0,0.8214743785500519
7165,15704.0,0.8278145695364238
7183,16326.0,0.7398627955408551
7245,21003.0,0.15426367661762605
7263,25700.0,0.49536964980544745
7278,17509.0,0.052887086641155975
7330,20657.0,0.01965435445611657
7361,33700.0,0.2251632047477745
7377,24113.0,0.3155144527848049
7421,98737.0,0.6944812988038932
7444,19508.0,0.7227803977855239
7467,8032.0,0.022908366533864542
7518,39688.0,0.05392058052811933
7527,11107.0,0.036913658053479785
7545,57285.0,0.3174129353233831
7772,215320.0,0.6723342002600781
7826,24982.0,0.5576014730606036
7851,18622.0,0.14230480077327892
7895,94289.0,0.25114276320673673
7937,268594.0,0.2729919506764857
7959,128680.0,0.2760879701585328
7980,219680.0,0.6766432993445011
7992,23583.0,0.7314591018954332
8013,1164098.0,0.9086545978087756
8030,122646.0,0.836521370448282
8062,45847.0,0.9234410103169237
8083,555284.0,0.9473008406509101
8102,401896.0,0.9780067480144117
8117,56764.0,1.0
8128,562151.0,0.29465214862198946
8143,580489.0,0.48827281826184477
8156,2057711.0,0.1039674667628253
8189,208702.0,0.9157075638949316
8205,483970.0,0.7644523420873195
8229,20911.0,0.9680072689015351
8249,296440.0,0.9701592227769532
8263,46015.0,0.7845050527002064
8279,496696.0,0.9309577689371366
8296,184786.0,0.8441819185436126
8317,298142.0,0.8351456688423637
8335,150660.0,0.7228594185583432
8345,90518.0,0.051437283192293244
8360,853622.0,0.7604162029563437
8373,37989.0,0.2504145936981758
8407,11546.0,0.6129395461631734
8422,21064.0,0.15699772123053551
8435,33929.0,0.06401603348168233
8480,16674.0,0.4346287633441286
8491,57423.0,0.6717343224840221
8525,80298.0,0.16824827517497323
8562,60539.0,0.9882885412709163
8579,87226.0,0.44138215669639785
8638,13375.0,0.7243364485981308
8658,322126.0,0.9799985098998528
8672,72550.0,0.8233080634045485
8686,23551.0,0.017833637637467623
8814,128895.0,1.0
8860,43235.0,0.6630507690528507
8889,58398.0,0.5392479194492962
9012,22394.0,0.38403143699205144
9053,53918.0,0.018546681998590452
9076,51113.0,0.03619431455794025
9099,38202.0,0.9924349510496833
9110,57250.0,0.9147248908296943
9121,23419.0,0.957299628506768
9134,40305.0,0.5704255055204069
9143,12484.0,0.9509772508811278
9153,6207.0,0.6135008860963428
9163,27268.0,0.8078333577820156
9173,33562.0,0.7638400572075562
9186,57649.0,0.9604676577217298
9197,49768.0,0.8484367465037775
9208,20671.0,0.673068550142712
9219,74036.0,0.6394186611918526
9229,15458.0,0.9607323068961056
9240,20710.0,1.0
9251,14093.0,1.0
9261,34075.0,0.8959060895084373
9272,38764.0,0.8353111134041895
9283,8892.0,0.6960188933873145
9294,32749.0,0.9688540108094904
9305,31348.0,1.0
9316,56649.0,0.8881004077741884
9327,117794.0,0.9545138122485016
9338,32639.0,0.8819204019730996
9349,205271.0,0.20762309337412493
9360,158732.0,0.30295088576972506
9371,5674.0,0.9693338033133592
9564,4279210.84,0.060202876098528486
9590,21384.0,0.8885147774036662
9609,9848.0,0.457859463850528
9766,35156.0,0.08877574240527933
9814,42098.0,0.02494180246092451
9836,62473.0,0.28505114209338434
9846,29955.0,0.18778167250876315
9854,72172.0,0.3186831458183229
9885,67198.0,0.2656329057412423
9902,76184.0,0.9440433686863383
9931,41795.0,0.15800933125972005
9945,8130.0,0.7025830258302583
9972,70280.0,0.7476380193511668
9981,60589.0,0.8707026027826833
9988,25619.0,0.80409071392326
9997,81082.0,0.9745196221109494
10007,32980.0,0.8885688295936931
10020,2893.0,0.61735222951953
10027,6158.0,0.3338746346216304
10037,15177.0,1.0
10047,75820.0,0.9897256660511738
10053,3136.0,1.0
10062,50197.0,0.9831464031715043
10072,66131.0,0.9775899351287596
10082,86844.0,0.989233568237299
10091,28061.0,0.7772709454402909
10100,58802.0,0.7999897962654331
10108,5993.0,0.6260637410312031
10117,47937.0,0.8367440599119678
10127,31620.0,0.9584756483238457
10137,88648.0,0.8822308455915531
10146,51928.0,1.0
10160,24394.0,0.6645076658194639
10170,4702.0,0.340280731603573
10179,54388.0,0.8855262190189013
10189,44781.0,0.9819566333936267
10199,120152.0,0.9987349357480525
10209,56587.0,0.962376517574708
10219,79264.0,0.9903613241824788
10229,41807.0,0.9492668691845864
10255,35942.0,0.1382226921150743
10273,34468.0,0.7513345711964721
10322,3597.0,0.5448985265499027
10342,12441.0,0.8817619162446748
10485,26369.0,0.2902271606811028
10716,178000.0,0.21235955056179776
10867,28000.0,1.0
10935,163757.0,0.9084008622532167
11137,1029000.0,0.47855199222546163
11198,30240.0,0.6249007936507937
11220,2737.0,0.3847278041651443
11230,57857.0,0.9747308018044489
11240,57089.0,0.5863476326437668
11250,49991.0,0.4115740833350003
11260,31895.0,0.3798401003292052
11266,33610.0,0.36506991966676583
11306,444365.0,0.07999954991954812
11345,444490.0,0.12000000000000001
11355,4592454.0,0.05
11369,152345.0,0.12000000000000001
11408,413643.0,0.12000000000000001
11421,362529.0,0.04
11434,205816.0,0.28
11473,823551.0,0.05
11512,218941.0,0.07999999999999999
11537,234598.0,0.06
11663,212000.0,0.1349056603773585
11952,137899.0,0.44910405441663825
12001,282955.0,0.1
12018,861968.0,0.6369145954374177
12029,505433.0,0.6966304139223201
12048,170000.0,0.39176470588235296
12063,321950.0,0.3606150023295543
12455,145850.0,0.8418992115186836
12479,58041.0,0.5606209403697386
12494,328600.0,0.7431527693244065
12506,173763.0,1.0
12523,195100.0,0.7888262429523322
12540,336200.0,0.6778703152885187
12556,858100.0,0.48593753641766696
12573,462000.0,0.4292207792207792
12590,38013.0,0.584773630073922
12597,216834.0,0.5123735207578147
12614,356983.0,0.46913718580436603
12630,155681.0,0.7816239618193613
12642,182900.0,0.3559431383269546
12664,209529.0,0.5846207446224627
13007,5273.67,0.4968873668621662
13015,44122.5,0.7494362286815117
13179,116689.5,0.7114536440725172
13190,36985.58,0.9703084283117906
13201,61758.33,0.7202699619630258
13212,89000.0,0.9539325842696629
13223,116000.0,1.0
13234,75414.0,0.0039780412125069615
13256,139220.83,0.27582618204474146
13267,379000.0,0.4706383113456465
13278,884802.17,0.7287404934822889
13319,12000.0,0.020833333333333332
13332,113814.0,0.6598162791923665
13354,2580.0,0.8461240310077519
13375,36290.67,0.3923826702565701
13385,7930.75,0.28055354159442675
13405,9089.0,0.5788315546264715
13415,4800.0,0.3375
13425,21662.92,0.15759278989166745
13435,134000.0,0.6194029850746269
13445,19101.0,0.8428878069211037
13455,24518.0,0.34097397830165593
13465,96167.0,0.24781889837470233
13475,38852.0,0.2759188716153609
13495,79636.0,0.5022853985634638
13535,31000.0,0.41916129032258065
13563,22440.0,0.7932263814616756
13583,16107.0,0.5457875457875457
13603,7575.0,0.8316831683168316
13641,40000.0,0.625
13661,13387.25,0.5042110963790174
13691,17060.0,0.9378663540445487
13710,90066.0,0.22321408744698332
13731,1200000.0,0.8639429166666667
13745,344615.0,0.8149529184742393
13757,122382.0,1.0
13769,79590.0,0.8
13791,22000.0,1.0
13805,58809.0,0.407391385672261
13819,29659.0,0.3476179237330996
13827,66069.0,0.12108553179251993
13833,17500.0,1.0
13855,27000.0,0.333037037037037
13869,25000.0,0.36
13913,405000.0,0.7901234567901234
13933,110979.0,0.7799944133574821
13964,199191.0,0.6024368570869166
13976,8000.0,1.0
13985,7900.0,0.9029645569620254
13993,8000.0,0.299875
14017,20500.0,1.0
14736,311000.0,0.9788392282958199
14746,232694.0,0.7499119014671629
14759,357652.0,0.9650945611935624
14772,327684.0,0.7874446112718351
14785,572944.0,1.0
14798,380000.0,0.985
14808,42485.0,0.7532070142403201
14818,97011.0,1.0
14828,301834.0,0.9009985621235513
14841,762500.0,0.9930491803278688
14854,15100.0,0.9940397350993377
14896,92000.0,0.9891304347826086
14909,72754.0,1.0
14930,771900.0,0.9120002591009199
14961,93500.0,0.9422459893048128
14974,207634.0,0.95
14992,69455.0,0.9583471312360521
15002,407133.0,0.9959988504984858
15015,150300.0,0.9118562874251497
15044,2044051.0,1.0
15057,110266.0,0.962998567101373
